step,loss,lr,tok_s,vram_mb,CrossEntropy,RouterAuxLoss,RouterZLoss,Total
94,7.531763553619385,0.0001425,6210,1917.147648,7.303645133972168,0.22543324530124664,0.002685204381123185,7.531763553619385
95,7.49692964553833,0.00014399999999999998,6221,1918.491136,7.250881195068359,0.24335680902004242,0.0026915676426142454,7.49692964553833
96,7.506210803985596,0.00014549999999999999,6232,1920.497664,7.276455879211426,0.2270645797252655,0.0026901974342763424,7.506210803985596
97,7.505621910095215,0.000147,6243,1919.312896,7.264184474945068,0.23875050246715546,0.0026870029978454113,7.505621910095215
98,7.48268461227417,0.00014849999999999998,6254,1919.097856,7.234277248382568,0.2457248419523239,0.0026827577967196703,7.48268461227417
99,7.361148834228516,0.00015,6266,1916.62592,7.129142761230469,0.22931693494319916,0.002689352724701166,7.361148834228516
100,7.316152572631836,0.0001515,6278,1919.49312,7.057733058929443,0.2557360529899597,0.0026834174059331417,7.316152572631836
101,7.36387300491333,0.00015299999999999998,6290,1921.999872,7.133188724517822,0.22799253463745117,0.0026916712522506714,7.36387300491333
102,7.670223712921143,0.0001545,6300,1924.171776,7.4337687492370605,0.233761265873909,0.002693446585908532,7.670223712921143
103,7.534208297729492,0.000156,6309,1924.078592,7.288662910461426,0.24285678565502167,0.002688489155843854,7.534208297729492
104,7.435276031494141,0.00015749999999999998,6319,1919.898624,7.188539981842041,0.24404792487621307,0.0026877890340983868,7.435276031494141
105,7.489141464233398,0.000159,6329,1921.649664,7.213531017303467,0.27292245626449585,0.0026879955548793077,7.489141464233398
106,7.6661376953125,0.0001605,6338,1921.608704,7.424080848693848,0.2393595576286316,0.0026976612862199545,7.6661376953125
107,7.564711570739746,0.000162,6348,1922.259968,7.340329170227051,0.22169354557991028,0.002689084969460964,7.564711570739746
108,7.390201568603516,0.0001635,6358,1918.65344,7.163485050201416,0.22402851283550262,0.002688142703846097,7.390201568603516
109,7.336232662200928,0.000165,6369,1918.501888,7.095552921295166,0.2379918396472931,0.002688156208023429,7.336232662200928
110,7.331567764282227,0.0001665,6378,1918.098432,7.103844165802002,0.22503505647182465,0.0026886167470365763,7.331567764282227
111,7.475900650024414,0.000168,6387,1917.943808,7.242969989776611,0.2302406281232834,0.0026899930089712143,7.475900650024414
112,7.439423561096191,0.00016949999999999997,6397,1919.72352,7.173367500305176,0.26336804032325745,0.0026878996286541224,7.439423561096191
113,7.654500961303711,0.00017099999999999998,6406,1917.312,7.421447277069092,0.23036174476146698,0.002691577887162566,7.654500961303711
114,7.90922737121582,0.00017249999999999996,6406,1917.2864,7.662553787231445,0.2439752072095871,0.002698534866794944,7.90922737121582
115,7.265239715576172,0.00017399999999999997,6415,1917.615616,7.030215740203857,0.23233386874198914,0.002690506400540471,7.265239715576172
116,7.229592323303223,0.00017549999999999998,6424,1919.097856,6.990694999694824,0.23620443046092987,0.0026926316786557436,7.229592323303223
117,7.311708450317383,0.00017699999999999997,6433,1918.770176,7.080182075500488,0.22883647680282593,0.002689636778086424,7.311708450317383
118,7.339369773864746,0.00017849999999999997,6441,1920.144384,7.112586975097656,0.22409170866012573,0.0026912030298262835,7.339369773864746
119,7.212151050567627,0.00017999999999999998,6449,1919.425536,6.980429172515869,0.2290332317352295,0.002689037239179015,7.212151050567627
120,7.571926593780518,0.00018149999999999997,6457,1920.9472,7.329551696777344,0.23968344926834106,0.0026914470363408327,7.571926593780518
121,7.409653186798096,0.00018299999999999998,6465,1924.30592,7.179919242858887,0.2270423024892807,0.0026917140930891037,7.409653186798096
122,7.353962421417236,0.00018449999999999999,6473,1921.60768,7.116289138793945,0.23498490452766418,0.0026882269885390997,7.353962421417236
123,7.399323463439941,0.000186,6481,1919.936,7.160204887390137,0.2364223599433899,0.002695996779948473,7.399323463439941
124,7.3619384765625,0.00018749999999999998,6489,1921.277952,7.126992225646973,0.23225083947181702,0.002695781644433737,7.3619384765625
125,7.371086120605469,0.00018899999999999999,6497,1920.4608,7.095946311950684,0.272451251745224,0.002688437467440963,7.371086120605469
126,7.268948554992676,0.0001905,6503,1917.359104,7.044658660888672,0.22159603238105774,0.002693719929084182,7.268948554992676
127,7.463441371917725,0.00019199999999999998,6511,1919.652864,7.226785659790039,0.23396453261375427,0.0026910733431577682,7.463441371917725
128,7.582412242889404,0.0001935,6519,1918.325248,7.346138000488281,0.23358272016048431,0.0026915273629128933,7.582412242889404
129,7.260281562805176,0.000195,6526,1916.345344,7.022926330566406,0.2346663773059845,0.002688707085326314,7.260281562805176
130,7.552090644836426,0.00019649999999999998,6531,1916.726272,7.311931610107422,0.23746389150619507,0.0026950242463499308,7.552090644836426
131,7.540505886077881,0.000198,6538,1917.118464,7.298927307128906,0.2388826310634613,0.002695865696296096,7.540505886077881
132,7.559511661529541,0.0001995,6545,1916.460032,7.316760540008545,0.2400616854429245,0.0026895904447883368,7.559511661529541
133,7.690654277801514,0.000201,6551,1916.722176,7.470818042755127,0.21714305877685547,0.0026930265594273806,7.690654277801514
134,7.111006259918213,0.0002025,6558,1916.60032,6.8612775802612305,0.24704252183437347,0.0026862300001084805,7.111006259918213
135,7.314032554626465,0.000204,6565,1916.314624,7.066104888916016,0.2452339380979538,0.00269381538964808,7.314032554626465
136,7.101587295532227,0.0002055,6572,1917.770752,6.868880271911621,0.23001742362976074,0.0026894565671682358,7.101587295532227
137,7.234968662261963,0.00020699999999999996,6578,1918.770176,7.006990432739258,0.2252851128578186,0.002693070797249675,7.234968662261963
138,7.041688442230225,0.00020849999999999997,6585,1917.14816,6.780765533447266,0.2582353353500366,0.00268761720508337,7.041688442230225
139,7.540780544281006,0.00020999999999999998,6591,1920.928768,7.294272422790527,0.24382100999355316,0.002687047468498349,7.540780544281006
140,7.243537902832031,0.00021149999999999996,6596,1921.04704,6.999486923217773,0.2413533478975296,0.002697326708585024,7.243537902832031
141,7.838735580444336,0.00021299999999999997,6603,1926.583296,7.608148574829102,0.22789397835731506,0.002692995360121131,7.838735580444336
142,7.0155792236328125,0.00021449999999999998,6609,1926.938624,6.76406192779541,0.2488228678703308,0.002694664988666773,7.0155792236328125
143,6.968005657196045,0.00021599999999999996,6615,1926.142976,6.720721244812012,0.24459491670131683,0.0026895389892160892,6.968005657196045
144,7.3007354736328125,0.00021749999999999997,6621,1922.864128,7.074044227600098,0.22399596869945526,0.002695116912946105,7.3007354736328125
145,7.454372406005859,0.00021899999999999998,6627,1919.947776,7.187601089477539,0.26407158374786377,0.002699758391827345,7.454372406005859
146,7.134728908538818,0.00022049999999999997,6633,1923.8656,6.916449546813965,0.2155861109495163,0.0026933588087558746,7.134728908538818
147,7.369349002838135,0.00022199999999999998,6638,1923.56864,7.116510391235352,0.2501440942287445,0.002694471273571253,7.369349002838135
148,7.411489963531494,0.00022349999999999998,6641,1924.104192,7.173025608062744,0.23577046394348145,0.002693881979212165,7.411489963531494
149,7.527499198913574,0.000225,6646,1922.270208,7.294920921325684,0.2298838496208191,0.002694463124498725,7.527499198913574
150,7.4071149826049805,0.00022649999999999998,6651,1921.714688,7.166943073272705,0.2374763786792755,0.0026956405490636826,7.4071149826049805
151,7.209560871124268,0.00022799999999999999,6655,1924.207104,6.974825859069824,0.23204098641872406,0.0026939131785184145,7.209560871124268
152,7.663313865661621,0.0002295,6660,1924.745216,7.4258575439453125,0.2347622662782669,0.0026940254028886557,7.663313865661621
153,7.229428291320801,0.00023099999999999998,6664,1922.104832,6.994151592254639,0.23258410394191742,0.0026926901191473007,7.229428291320801
154,7.200605392456055,0.00023249999999999999,6669,1920.162816,6.956366539001465,0.24154429137706757,0.0026948126032948494,7.200605392456055
155,7.0593695640563965,0.000234,6673,1920.357376,6.816644668579102,0.240029975771904,0.0026950170285999775,7.0593695640563965
156,6.94731330871582,0.00023549999999999998,6677,1919.664128,6.718794822692871,0.22582514584064484,0.002692998154088855,6.94731330871582
157,7.3116607666015625,0.000237,6682,1920.548864,7.071298122406006,0.23767045140266418,0.002692235866561532,7.3116607666015625
158,7.17058801651001,0.0002385,6686,1921.64864,6.947380542755127,0.22051547467708588,0.002692457055673003,7.17058801651001
159,6.993342876434326,0.00023999999999999998,6689,1921.11616,6.779252529144287,0.21139883995056152,0.0026917748618870974,6.993342876434326
160,7.041347980499268,0.0002415,6692,1921.719296,6.829297065734863,0.2093605399131775,0.0026905203703790903,7.041347980499268
